NUM_NS,SOMA_BASE_CR,DATA
1199607684,0.0,15/08/2025
1199621638,29602.0,15/08/2025
1199671977,0.0,15/08/2025
1199683957,0.0,15/08/2025
1199689027,29561.0,15/08/2025
1199696413,5177.97,15/08/2025
1199734166,8324.79,15/08/2025
1199777431,74956.0,15/08/2025
1199797955,9729.78,15/08/2025
1199797967,0.0,15/08/2025
1199830886,46461.0,15/08/2025
1199892044,22150.0,15/08/2025
1200053023,,15/08/2025
1200053023,24040.0,15/08/2025
1200053485,25119.0,15/08/2025
1200107248,233270.0,15/08/2025
1200110877,62849.54,15/08/2025
1200153173,4572.84,15/08/2025
1200162033,519.0,15/08/2025
1200162033,0.0,15/08/2025
1200180798,34611.1,15/08/2025
1200227225,11871.0,15/08/2025
1200235076,20676.0,15/08/2025
1200242302,66868.0,15/08/2025
1200242302,650.0,15/08/2025
1200334896,46881.21,15/08/2025
1200421731,37175.0,15/08/2025
1200433815,23577.0,15/08/2025
1200446213,15084.0,15/08/2025
1200506085,0.0,15/08/2025
1200659650,0.0,15/08/2025
1200758137,982.81,15/08/2025
1200799233,9132.56,15/08/2025
1200907962,11106.37,15/08/2025
1200914162,1722.98,15/08/2025
1200946787,35040.0,15/08/2025
1201045620,9478.7,15/08/2025
1201142588,98068.0,15/08/2025
1201190359,18816.0,15/08/2025
1201223953,76351.0,15/08/2025
1201242925,16018.58,15/08/2025
1201256895,0.0,15/08/2025
1201257931,12444.16,15/08/2025
1201271719,52825.0,15/08/2025
1201271922,635.0,15/08/2025
1201271922,0.0,15/08/2025
1201324869,21833.0,15/08/2025
1201328852,71680.0,15/08/2025
1201349184,468618.0,15/08/2025
1201524263,896.0,15/08/2025
1201524263,0.0,15/08/2025
1201526632,9677.7,15/08/2025
1201617000,0.0,15/08/2025
1201620666,18972.36,15/08/2025
1201664161,24765.78,15/08/2025
1201665708,7942.63,15/08/2025
1201669358,1564.65,15/08/2025
1201681210,0.0,15/08/2025
1201763045,20173.0,15/08/2025
1201937945,0.0,15/08/2025
1201950665,77.84,15/08/2025
1202132101,27244.0,15/08/2025
1202136133,30181.0,15/08/2025
1202139840,20248.0,15/08/2025
1202369072,21046.48,15/08/2025
1202715268,24006.0,15/08/2025
1203347547,27826.0,15/08/2025
1203398818,0.0,15/08/2025
1203734312,29646.0,15/08/2025
1204372975,8307.54,15/08/2025
1204498119,17095.0,15/08/2025
1204827608,15664.0,15/08/2025
1205612029,0.0,15/08/2025
1206834052,17886.0,15/08/2025
1207366136,10351.89,15/08/2025
1207683064,2062.0,15/08/2025
1207687509,43597.0,15/08/2025
1208076378,19380.0,15/08/2025
1208429792,81210.22,15/08/2025
1209227519,0.0,15/08/2025
1209231469,0.0,15/08/2025
1209254589,3709.32,15/08/2025
1209306164,13570.17,15/08/2025
1209594903,0.0,15/08/2025
1209994369,6718.17,15/08/2025
1210277545,62.56,15/08/2025
1210279758,29649.0,15/08/2025
1210339823,18752.0,15/08/2025
1210378789,5554.76,15/08/2025
1210393071,26538.0,15/08/2025
1210678081,61052.0,15/08/2025
1211079631,12710.21,15/08/2025
1211977222,24158.7,15/08/2025
1212320541,52437.0,15/08/2025
1212651572,34213.0,15/08/2025
1212995926,69355.0,15/08/2025
1212998320,72246.0,15/08/2025
1213094141,7664.0,15/08/2025
1213396018,1020.0,15/08/2025
1214812956,58478.0,15/08/2025
1214829077,11855.14,15/08/2025
1214868318,0.0,15/08/2025
1215314060,20621.89,15/08/2025
1215334660,10345.7,15/08/2025
1215401960,50617.0,15/08/2025
1215700705,53346.03,15/08/2025
1216412899,1590.17,15/08/2025
1216462756,19200.0,15/08/2025
1216463188,25796.62,15/08/2025
1216503348,8321.82,15/08/2025
1216503816,12251.71,15/08/2025
1216560082,14962.06,15/08/2025
1216572055,16684.0,15/08/2025
1216614468,3499.85,15/08/2025
1216689654,52458.0,15/08/2025
1216692398,19712.0,15/08/2025
1216709214,262.86,15/08/2025
1216725745,0.0,15/08/2025
1216792447,22683.0,15/08/2025
1216849943,17971.0,15/08/2025
1216887288,15384.01,15/08/2025
1216917902,117005.0,15/08/2025
1216920398,20410.0,15/08/2025
1216921899,80862.0,15/08/2025
1217066919,9008.08,15/08/2025
1217146546,12066.32,15/08/2025
1217153307,13416.66,15/08/2025
1217160280,27742.0,15/08/2025
1217221467,250.0,15/08/2025
1217288210,8681.12,15/08/2025
1217297992,571.0,15/08/2025
